ObjectID,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance
1,M,99.67,-71.034890921337,42.3655716666792,1,1,SAMUEL ADAMS ELEMENTARY SCHOOL ,165 WEBSTER STREET,"165 Webster Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN AUDITORIUM,VOTERS ENTER FROM LEFT OF MAIN ENTRANCE
2,M,99.64,-71.0375288739044,42.3728967375927,1,4,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,
3,M,100,-71.0401796507836,42.368670204826,1,3,BHA HERITAGE APARTMENTS ,209 SUMNER STREET,"209 Sumner Street, #3, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,
4,M,99.67,-71.0342212072733,42.3692566865912,1,2,DONALD MCKAY SCHOOL ,122 COTTAGE STREET,"122 Cottage Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN MUSIC ROOM,VOTER ENTRANCE MCKAY PLACE
5,M,99.64,-71.0375288739044,42.3728967375927,1,5,PARIS STREET COMMUNITY CENTER ,112 PARIS STREET,"112 Paris Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,
6,M,99.63,-71.0349220181978,42.3809661215083,1,6,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
7,M,99.63,-71.0349220181978,42.3809661215083,1,7,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
8,M,99.63,-71.0349220181978,42.3809661215083,1,8,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
9,M,99.63,-71.0349220181978,42.3809661215083,1,9,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
10,M,99.33,-71.004168480171,42.3885520372486,1,13,CURTIS GUILD ELEMENTARY SCHOOL ,195 LEYDEN STREET,"195 Leyden Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE 195 LEYDEN STREET TO THE FAR RIGHT OF BUILDING
11,M,99.29,-71.0349220181978,42.3809661215083,1,10,EAST BOSTON HIGH SCHOOL GYMNASIUM ,86 WHITE STREET,"86 White Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN GYMNASIUM,VOTER ENTRANCE LEFT SIDE OF BUILDING ON BROOKS STREET
12,M,99.38,-71.0046611684396,42.3840673418642,1,12,ORIENT HEIGHTS YACHT CLUB ,61 BAYSWATER STREET,"61 Bayswater Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN FUNCTION ROOM,
13,M,99.29,-71.020132904416,42.3838348697796,1,11,CHEVERUS SCHOOL APARTMENTS ,10 MOORE STREET,"10 Moore Street, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN LOBBY,VOTER ENTRANCE THROUGH PARKING LOT FROM CHAUCER STREET TO THE LEFT OF THE MAIN ENTRANCE
14,M,99.26,-71.0094592212743,42.3926647437702,1,14,OVERLOOK TERRACE ,40 VALLAR ROAD,"40 Vallar Road, East Boston, Massachusetts, 02128",BOSTON,MA,02128,VOTE IN COMMUNITY ROOM,
15,M,99.43,-71.0451308409894,42.3191000485416,1,15,CORCORAN MULLINS JENNISON COMMUNITY BUILDING , 270 MOUNT VERNON STREET,"270 Mount Vernon Street, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN PORTLAND HALL 2ND FLOOR,
16,M,99.62,-71.064296146419,42.3767013672631,2,1,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
17,M,99.62,-71.064296146419,42.3767013672631,2,3,CHARLESTOWN BOYS & GIRLS CLUB ,60 HIGH STREET,"60 High Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
18,M,99.69,-71.0575474570773,42.376632635657,2,2,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
19,M,99.64,-71.0672318241872,42.3790890362016,2,5,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET
20,M,99.64,-71.0672318241872,42.3790890362016,2,6,CLARENCE R EDWARDS MIDDLE SCHOOL ,28 WALKER STREET,"28 Walker Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,VOTER ENTRANCE REAR SCHOOL YARD FROM EDEN STREET
21,M,99.69,-71.0575474570773,42.376632635657,2,4,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
22,M,99.63,-71.0699196490785,42.3797828063275,2,7,GOLDEN AGE SENIOR CENTER ,382 MAIN STREET,"382 Main Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN LUNCH ROOM,HP ENTRANCE REAR OF BUILDING
23,M,99.68,-71.0549211553554,42.3641173645687,3,3,NORTH END LIBRARY ,25 PARMENTER STREET,"25 Parmenter Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,
24,M,99.69,-71.0575474570773,42.376632635657,2,8,HARVARD/KENT SCHOOL ,50 BUNKER HILL STREET,"50 Bunker Hill Street, Charlestown, Massachusetts, 02129",BOSTON,MA,02129,VOTE IN GYMNASIUM,
25,M,99.68,-71.0574902086786,42.3649060178385,3,4,CASA MARIA APARTMENTS ,130 ENDICOTT STREET,"130 Endicott Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN RICKY ANZILOTTI COMMUNITY ROOM,VOTERS ENTRANCE RIGHT SIDE OF BUILDING DOOR AT THE CORNER OF ENDICOTT STREET AND THACHER STREET
26,M,97.83,-71.0519812028166,42.36244735418,3,1,CHRISTOPHER COLUMBUS ELDERLY HOUSING,145 COMMERICAL STREET,"145 Commercial Street, Boston, Massachusetts, 02109",BOSTON,MA,02109,VOTE IN COMMUNITY ROOM,
27,M,96.71,-71.0544137987562,42.3652908310133,3,2,NAZZARO COMMUNITY CENTER ,30 NORTH BENNETT STREET,"30 North Bennet Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,HP ENTRANCE LEFT SIDE OF BUILDING
28,M,99.71,-71.0688293681285,42.3415919929034,3,7,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET
29,M,99.64,-71.0581411472792,42.3601173527353,3,6,CITY HALL ,1 CITY HALL PLAZA,"1 City Hall Plaza, Boston, Massachusetts, 02201",BOSTON,MA,02201,VOTE IN HALLWAY BY CREDIT UNION,VOTER ENTRANCE NORTH SIDE OF BUILDING
30,M,97.41,-71.0656411904216,42.3656373388905,3,5,AMY LOWELL HOUSE,65 MARTHA ROAD,"65 Martha Road, Boston, Massachusetts, 02114",BOSTON,MA,020114,VOTE IN COMMUNITY ROOM,CHARLES RIVER PARK RESIDENTS VOTER ENTRANCE REAR FUNCTION ROOM
31,M,99.76,-71.0653422079353,42.3631263302467,3,9,SAINT JOSEPH PARISH,68 WILLIAM CARDINAL O'CONNELL WAY,"68 William Cardinal O'Connell Way, Boston, Massachusetts, 02114",BOSTON,MA,02114,VOTE IN LOWER HALL,VOTER ENTRANCE LEFT SIDE OF BUILDING
32,M,99.16,-71.0651491727052,42.3487666213646,3,8,WANG YMCA OF CHINATOWN ,8 OAK STREET WEST,"8 Oak Street West, Boston, Massachusetts, 02116",BOSTON,MA,02111,VOTE IN GYMNASIUM,
33,M,99.29,-71.0585897467372,42.3546886874152,3,12,SAINT ANTHONY SHRINE , 100 ARCH STREET,"100 Arch Street, Boston, Massachusetts, 02110",BOSTON,MA,02110,VOTE IN DOWNSTAIRS AUDITORIUM,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE
34,M,99.29,-71.0585897467372,42.3546886874152,3,13,SAINT ANTHONY SHRINE , 100 ARCH STREET,"100 Arch Street, Boston, Massachusetts, 02110",BOSTON,MA,02110,VOTE IN DOWNSTAIRS AUDITORIUM,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE
35,M,99.31,-71.0581411472792,42.3601173527353,3,10,CITY HALL ,1 CITY HALL PLAZA,"1 City Hall Plaza, Boston, Massachusetts, 02201",BOSTON,MA,02201,VOTE IN HALLWAY BY CREDIT UNION,VOTER ENTRANCE NORTH SIDE OF BUILDING
36,M,99.35,-71.0657012048483,42.346257331011,3,15,BOSTON CHINESE EVANGELICAL CHURCH ,120 SHAWMUT AVENUE,"120 Shawmut Avenue, Boston, Massachusetts, 02118",BOSTON,MA,02118,,
37,M,99.31,-71.0653211693584,42.3594573616793,3,17,BEACON HOUSE ,19 MYRTLE STREET,"19 Myrtle Street, Boston, Massachusetts, 02114",BOSTON,MA,02114,,
38,M,96.45,-71.0544137987562,42.3652908310133,3,11,NAZZARO COMMUNITY CENTER ,30 NORTH BENNETT STREET,"30 North Bennet Street, Boston, Massachusetts, 02113",BOSTON,MA,02113,VOTE IN COMMUNITY ROOM,HP ENTRANCE LEFT SIDE OF BUILDING
39,M,99.43,-71.0688293681285,42.3415919929034,3,16,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET
40,M,98.83,-71.0651491727052,42.3487666213646,3,14,WANG YMCA OF CHINATOWN ,8 OAK STREET WEST,"8 Oak Street West, Boston, Massachusetts, 02116",BOSTON,MA,02111,VOTE IN GYMNASIUM,
41,M,99.67,-71.0713881585148,42.3447163600217,4,1,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE
42,M,99.68,-71.0786598786147,42.3492483712496,4,2,COPLEY SQUARE LIBRARY ,700 BOYLSTON STREET,"700 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GUASTAVINO ROOM OF THE MCKIM BUILDING,VOTERS ENTER FROM DARTMOUTH STREET
43,M,100,-71.0761012188513,42.3467973351231,4,3,TENT CITY COMMUNITY ROOM ,130 DARTMOUTH STREET,"130 Dartmouth Street, #3, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE YARMOUTH STREET IN REAR OF BUILDING
44,M,99.67,-71.0793812252019,42.340137326317,4,4,FREDERICK DOUGLASS APARTMENTS ,755 TREMONT STREET,"755 Tremont Street, Boston, Massachusetts, 02118",BOSTON,MA,02118,VOTE IN COMMUNITY ROOM,
45,M,99.72,-71.0841710637715,42.342627715479,4,5,SYMPHONY PLAZA EAST  ,334 MASSACHUSETTS AVENUE,"334 Massachusetts Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN COMMUNITY ROOM,
46,M,99.71,-71.0878532338365,42.3420563211395,4,7,FENWAY CENTER , 77 SAINT STEPHEN STREET,"77 Saint Stephen Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE
47,M,99.71,-71.0878532338365,42.3420563211395,4,6,FENWAY CENTER , 77 SAINT STEPHEN STREET,"77 Saint Stephen Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE
48,M,99.72,-71.0846742294192,42.3422879969432,4,8,SYMPHONY PLAZA WEST  ,333 MASSACHUSETTS AVENUE,"333 Massachusetts Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN COMMUNITY ROOM,
49,M,99.66,-71.0941938921317,42.3355135751588,4,9,WENTWORTH INSTITUTE ANNEX CENTRAL BUILDING ,550 PARKER STREET,"550 Parker Street, Roxbury Crossing, Massachusetts, 02120",BOSTON,MA,02120,VOTE IN CASELLA GALLERY,HP ENTRANCE LEFT OF MAIN ENTRANCE
50,M,99.41,-71.101229326381,42.3389289911552,4,10,SIMMONS UNIVERSITY  PARK SCIENCE BUILDING ,6 AVENUE LOUIS PASTEUR,"6 Avenue Louis Pasteur, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN LOBBY,
51,M,99.41,-71.0942034475013,42.3395907424109,4,12,MUSEUM OF FINE ARTS ,465 HUNTINGTON AVENUE,"465 Huntington Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,,
52,M,99.41,-71.0942034475013,42.3395907424109,4,11,MUSEUM OF FINE ARTS ,465 HUNTINGTON AVENUE,"465 Huntington Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,,
53,M,99.67,-71.0713881585148,42.3447163600217,5,1,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE
54,M,99.66,-71.0975412051648,42.3433623473828,5,2,BOSTON TEMPLE SEVENTHDAY ADVENTIST CHURCH ,105 JERSEY STREET,"105 Jersey Street, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN POWERY HALL,VOTER ENTRANCE RIGHT SIDE OF BUILDING THROUGH PARKING LOT ON PETERBOROUGH STREET
55,M,99.64,-71.0637500654272,42.3583099210441,5,3,STATE HOUSE , 24 BEACON STREET,"24 Beacon Street, Boston, Massachusetts, 02133",BOSTON,MA,02133, VOTE IN HERAING ROOM B1 IN BASEMENT,VOTER ENTRANCE ON BOWDOIN STREET THROUGH ASHBURTON PARK DOOR # 16
56,M,99.66,-71.0724011953326,42.3526073351282,5,6,EMMANUEL EPISCOPAL CHURCH ,15 NEWBURY STREET,"15 Newbury Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE DOOR TO THE RIGHT CLOSEST TO  ARLINGTON STREET
57,M,99.71,-71.0709112282241,42.3578573401821,5,5,HILL HOUSE COMMUNITY CENTER ,127 MOUNT VERNON STREET,"127 Mount Vernon Street, Boston, Massachusetts, 02108",BOSTON,MA,02108,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),
58,M,99.68,-71.0783211659073,42.3501273395261,5,7,OLD SOUTH CHURCH ,645 BOYLSTON STREET,"645 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GORDON CHAPEL,HP ENTRANCE MAIN ENTRANCE
59,M,99.68,-71.0786598786147,42.3492483712496,5,8,COPLEY SQUARE LIBRARY ,700 BOYLSTON STREET,"700 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GUASTAVINO ROOM OF THE MCKIM BUILDING,VOTERS ENTER FROM DARTMOUTH STREET
60,M,99.68,-71.0863911784656,42.3465393401434,5,9,SAINT CECILIA PARISH , 18 BELVIDERE STREET,"18 Belvidere Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTER ENTRANCE UPSTAIRS ON BELVIDERE STREET HP ENTRANCE GROUND LEVEL GLASS DOORS,
61,M,99.69,-71.0650011482951,42.3615373309522,5,4,WEST END LIBRARY ,151 CAMBRIDGE STREET,"151 Cambridge Street, Boston, Massachusetts, 02114",BOSTON,MA,02114,VOTE IN COMMUNITY ROOM,
62,M,100,-71.0969408932593,42.3446596564467,5,12,FENWAY COMMUNITY CENTER ,1282 BOYLSTON STREET,"1282 Boylston Street, #12, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN COMMUNITY ROOM,VOTERS ENTER FROM JERSEY STREET
63,M,99.43,-71.0709112282241,42.3578573401821,5,11,HILL HOUSE COMMUNITY CENTER ,127 MOUNT VERNON STREET,"127 Mount Vernon Street, Boston, Massachusetts, 02108",BOSTON,MA,02108,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),
64,M,99.35,-71.0713881585148,42.3447163600217,5,13,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE
65,M,99.35,-71.0713881585148,42.3447163600217,5,14,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE
66,M,99.38,-71.0863911784656,42.3465393401434,5,15,SAINT CECILIA PARISH , 18 BELVIDERE STREET,"18 Belvidere Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTER ENTRANCEUPSTAIRS ON BELVIDERE STREET HP ENTRANCE GROUND LEVEL GLASS DOORS,
67,M,99.58,-71.0521517745462,42.3380345582673,6,1,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,
68,M,99.58,-71.0521517745462,42.3380345582673,6,2,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,
69,M,99.58,-71.0521517745462,42.3380345582673,6,3,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,
70,M,99.31,-71.0970012429622,42.350347322575,5,10,BOSTON UNIVERSITY KILACHAND HALL,91 BAY STATE ROAD,"91 Bay State Road, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN ROOM 101 KILACHAND COMMONS,
71,M,99.7,-71.0473122312908,42.3350188333239,6,4,JULIE'S FAMILY LEARNING PROGRAM ,133 DORCHESTER STREET,"133 Dorchester Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN MULTIPURPOSE ROOM,VOTERS ENTRANCE AROUND THE CORNER ON WEST FOURTH STREET
72,M,99.58,-71.0348911727941,42.3335573227767,6,6,MONSIGNOR JOHN T POWERS ELDERLY HOUSING ,120 L STREET,"120 L Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN HALLWAY,VOTERS USE MAIN ENTRANCE
73,M,99.66,-71.0387151646608,42.3357932792678,6,5,SOUTH BOSTON LIBRARY ,646 EAST BROADWAY,"646 East Broadway, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN MEETING ROOM,
74,M,99.58,-71.0348911727941,42.3335573227767,6,8,MONSIGNOR JOHN T POWERS ELDERLY HOUSING ,120 L STREET,"120 L Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE USE DOOR CLOSEST TO EAST FIFTH STREET
75,M,99.66,-71.0387151646608,42.3357932792678,6,7,SOUTH BOSTON LIBRARY ,646 EAST BROADWAY,"646 East Broadway, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN MEETING ROOM,
76,M,99.58,-71.0348911727941,42.3335573227767,6,9,MONSIGNOR JOHN T POWERS ELDERLY HOUSING ,120 L STREET,"120 L Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE USE DOOR CLOSEST TO EAST FIFTH STREET
77,M,99.29,-71.0453703957821,42.3522538283617,6,11,DISTRICT HALL , 75 NORTHERN AVE,"75 Northern Avenue, Boston, Massachusetts, 02210",BOSTON,MA,02210,,
78,M,99.41,-71.0536357905034,42.3429453057903,6,10,ARTISTS FOR HUMANITY ,100 WEST SECOND STREET,"100 West Second Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,,
79,M,100,-71.0417712065586,42.3308773349649,7,3,FOLEY APARTMENTS ,199 H STREET,"199 H Street, #3, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN COMMUNITY ROOM,
80,M,99.7,-71.0385088022046,42.3349041688884,7,1,DR JOSEPH P TYNAN SCHOOL,650 EAST FOURTH STREET,"650 East Fourth Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,
81,M,98.8,-71.0453703957821,42.3522538283617,6,12,DISTRICT HALL , 75 NORTHERN AVE,"75 Northern Avenue, Boston, Massachusetts, 02210",BOSTON,MA,02110,,
82,M,99.7,-71.0385088022046,42.3349041688884,7,2,DR JOSEPH P TYNAN SCHOOL,650 EAST FOURTH STREET,"650 East Fourth Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,
83,M,99.7,-71.050430215453,42.3335823846672,7,4,UP ACADEMY (FORMERLY KNOWN AS GAVIN EDUCATION COMPLEX) ,215 DORCHESTER STREET,"215 Dorchester Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN ROOM 22,VOTER ENTRANCE RIGHT SIDE OF PARKING LOT ON WEST SEVENTH STREET
84,M,99.69,-71.0529111749739,42.3287973237824,7,6,MARY ELLEN MCCORMACK TASK FORCE OFFICE,345 OLD COLONY AVENUE,"345 Old Colony Avenue, South Boston, Massachusetts, 02127",BOSTON,MA,02127,,VOTER ENTRANCE DEVINE WAY
85,M,99.69,-71.0530178766013,42.3329730622158,7,5,WEST NINTH STREET ELDERLY COMMUNITY ROOM ,185 WEST NINTH STREET,"185 West Ninth Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN COMMUNITY ROOM,HP ENTRANCE REAR OF BUILDING
86,M,99.69,-71.0529111749739,42.3287973237824,7,7,MARY ELLEN MCCORMACK TASK FORCE OFFICE,345 OLD COLONY AVENUE,"345 Old Colony Avenue, South Boston, Massachusetts, 02127",BOSTON,MA,02127,,VOTER ENTRANCE DEVINE WAY
87,M,99.69,-71.0588712110458,42.3242673242112,7,8,BELLFLOWER APARTMENTS ,24 BELLFLOWER STREET,"24 Bellflower Street, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE DORSET STREET HP USE MAIN ENTRANCE
88,M,99.69,-71.0588712110458,42.3242673242112,7,9,BELLFLOWER APARTMENTS ,24 BELLFLOWER STREET,"24 Bellflower Street, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE DORSET STREET HP USE MAIN ENTRANCE
89,M,99.71,-71.0688293681285,42.3415919929034,8,1,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET
90,M,99.66,-71.0767080686412,42.3268194041806,8,3,VINE STREET COMMUNITY CENTER ,339 DUDLEY STREET,"339 Dudley Street, Roxbury, Massachusetts, 02119",BOSTON,MA,02119,VOTE IN COMMUNITY ROOM,HP ENTRANCE ELEVATOR TO RIGHT OF MAIN ENTRANCE
91,M,100,-71.0671712230272,42.3152673394956,7,10,UPHAMS CROSSING ,530 COLUMBIA ROAD,"530 Columbia Road, #10, Dorchester, Massachusetts, 02125",BOSTON,MA,02125,VOTE IN COMMUNITY ROOM,VOTERS ENTER FROM DOOR AT THE CORNER OF DAVERNS AVENUE AND COLUMBIA ROAD
92,M,99.71,-71.0688293681285,42.3415919929034,8,2,CATHEDRAL HIGH SCHOOL GYMNASIUM ,1336 WASHINGTON STREET,"1336 Washington St, Boston, Massachusetts, 02118",BOSTON,MA,02118,,VOTER ENTRANCE RIGHT SIDE OF BUILDING ON UNION PARK STREET
93,M,99.66,-71.0785295400203,42.3299084288673,8,4,ORCHARD GARDENS COMMUNITY CENTER ,2 DEARBORN STREET,"2 Dearborn Street, Roxbury, Massachusetts, 02119",BOSTON,MA,02119,VOTE IN GYMNASIUM,
94,M,99.66,-71.0785295400203,42.3299084288673,8,6,ORCHARD GARDENS COMMUNITY CENTER ,2 DEARBORN STREET,"2 Dearborn Street, Roxbury, Massachusetts, 02119",BOSTON,MA,02119,VOTE IN GYMNASIUM,
95,M,99.64,-71.0728601883505,42.3411793226102,9,1,YOUTH DEVELOPMENT PROGRAM , 2 SAN JUAN STREET,"2 San Juan Street, Boston, Massachusetts, 02118",BOSTON,MA,02118,,
